,Machine_1,Machine_2,Machine_3,Machine_4,Machine_5,Machine_6,Machine_7,Machine_8,Machine_9,Machine_10
Job_1,36,3,63,17,18,75,43,94,19,50
Job_2,62,83,62,11,43,63,59,31,93,49
Job_3,66,75,55,70,95,75,6,34,49,89
Job_4,11,65,49,16,37,46,47,46,3,54
Job_5,61,53,91,14,33,78,90,69,75,21
Job_6,80,95,60,9,54,33,57,25,78,94
Job_7,52,90,71,6,52,76,26,42,25,32
Job_8,40,19,69,14,78,82,52,8,43,96
Job_9,26,9,73,34,63,67,36,74,5,61
Job_10,51,48,79,14,90,88,67,84,10,50
Job_11,90,88,55,64,90,67,87,67,66,31
Job_12,75,91,53,42,99,46,4,32,31,80
Job_13,51,23,97,56,20,64,27,17,56,36
Job_14,72,86,66,24,8,88,5,48,96,15
Job_15,7,30,25,17,34,66,4,84,98,31
Job_16,28,61,44,36,97,55,46,96,94,19
Job_17,12,25,11,40,62,88,16,14,27,85
Job_18,91,45,89,27,87,63,78,24,34,75
Job_19,47,42,72,46,65,34,41,47,17,11
Job_20,71,43,63,39,29,72,66,83,56,79
Job_21,9,6,64,49,16,98,19,40,33,51
Job_22,50,14,34,87,73,88,33,40,27,10
Job_23,75,51,90,61,73,69,40,17,57,52
Job_24,66,48,30,33,21,90,71,64,31,77
Job_25,77,85,19,71,27,35,98,63,96,76
Job_26,62,94,49,14,46,64,37,97,68,78
Job_27,96,89,43,10,13,89,74,5,23,91
Job_28,99,31,26,57,21,86,78,3,72,67
Job_29,41,61,68,21,49,39,92,67,87,3
Job_30,47,32,28,33,42,67,7,89,45,98
Job_31,26,93,57,75,27,97,42,73,28,52
Job_32,81,19,87,12,70,83,72,14,41,8
Job_33,91,65,18,28,80,72,78,54,99,50
Job_34,67,51,19,30,97,7,63,32,80,14
Job_35,95,94,69,59,89,41,6,45,97,71
Job_36,66,42,46,58,32,84,70,39,27,19
Job_37,14,80,82,14,24,11,70,46,53,82
Job_38,43,66,86,86,43,47,35,58,20,44
Job_39,90,95,97,53,89,53,50,96,92,15
Job_40,21,34,4,90,41,7,47,89,89,34
Job_41,47,70,42,59,93,33,63,70,47,68
Job_42,67,88,97,11,28,40,88,19,44,27
Job_43,32,24,55,96,59,84,2,29,80,67
Job_44,24,33,33,11,6,92,88,81,55,33
Job_45,83,76,16,60,55,94,5,28,46,20
Job_46,91,12,55,44,81,23,5,63,36,43
Job_47,97,92,3,28,29,19,66,36,33,33
Job_48,99,64,35,82,37,9,81,66,40,63
Job_49,1,19,83,57,14,92,11,52,1,27
Job_50,21,89,61,61,19,26,91,4,69,37
Job_51,69,29,38,12,29,82,15,61,75,97
Job_52,3,12,25,72,17,47,41,41,17,43
Job_53,38,70,46,77,16,15,17,56,9,72
Job_54,66,9,26,62,73,48,24,73,43,13
Job_55,26,2,22,66,24,39,99,29,61,2
Job_56,28,80,45,85,10,89,86,42,9,67
Job_57,6,31,21,39,15,71,67,68,15,43
Job_58,23,31,3,43,83,35,39,70,49,29
Job_59,74,37,37,66,84,62,17,80,89,79
Job_60,58,33,40,78,4,87,33,42,35,85
Job_61,32,80,67,55,61,29,36,52,45,16
Job_62,92,40,73,54,91,29,51,87,84,74
Job_63,21,9,96,47,3,14,97,85,61,3
Job_64,59,37,38,70,97,99,43,16,86,73
Job_65,52,21,65,33,29,11,2,16,77,44
Job_66,40,71,62,60,7,26,21,33,91,38
Job_67,65,36,78,82,31,94,42,46,69,7
Job_68,99,76,5,31,13,43,99,9,35,96
Job_69,27,12,16,38,82,11,35,8,58,25
Job_70,86,17,93,66,88,3,43,30,43,51
Job_71,49,52,2,58,79,84,89,84,27,94
Job_72,20,63,98,65,59,18,29,82,88,51
Job_73,6,79,92,71,81,65,51,1,42,53
Job_74,47,40,75,49,77,40,90,19,59,38
Job_75,36,67,43,30,29,81,22,24,37,45
Job_76,29,40,97,83,27,19,48,53,77,2
Job_77,25,36,16,15,27,40,70,66,84,67
Job_78,95,59,41,67,50,33,82,30,68,41
Job_79,27,18,81,74,94,17,18,52,94,94
Job_80,49,51,31,48,16,45,63,16,85,99
Job_81,42,61,80,75,33,87,49,28,65,77
